LAU2_CODE,demokrati,hlas,lsns,kdh,olano_a_priatelia,ps,republika,sme_rodina,smer,aliancia,sas,sns
SK0233500011,3.56,15.55,0.71,5.26,6.32,22.18,4.37,1.76,25.46,0.28,8.28,5.02
SK0233500020,1.74,17.93,1.33,5.22,7.17,8.81,6.25,2.45,39.34,0.1,2.97,6.04
SK0233500046,2.17,16.81,0.43,4.49,5.79,13.47,7.24,3.62,37.24,0.0,2.6,5.79
SK0237500062,2.76,18.03,2.35,3.38,4.5,13.93,5.12,3.58,35.45,0.1,3.17,6.04
SK0233500071,2.0,16.4,1.44,2.8,11.84,18.56,4.64,2.88,22.96,7.04,3.84,3.12
SK0233500101,2.59,19.66,0.3,3.65,8.38,13.71,6.85,1.82,30.94,0.0,5.03,5.79
SK0237500127,2.09,16.02,1.04,8.01,11.14,11.49,4.18,2.09,26.13,0.69,2.78,12.54
SK0233500135,2.55,20.44,0.31,3.35,4.95,13.57,11.82,1.59,29.39,0.15,3.99,6.23
SK0237500151,1.51,16.0,0.55,10.2,5.51,10.62,5.93,2.62,30.75,0.0,4.41,11.03
SK0233500160,2.89,18.32,2.57,2.25,4.5,10.93,5.46,2.25,30.54,6.75,4.82,7.71
SK0233500194,2.58,10.19,0.97,2.58,14.72,15.21,5.01,2.75,15.37,23.78,2.42,2.58
SK0233500232,3.2,20.32,0.84,7.33,5.31,13.32,4.8,2.78,30.86,0.33,5.56,4.04
SK0235500241,2.66,13.31,1.73,6.25,7.85,13.31,5.59,2.66,32.75,0.13,4.39,7.72
SK0106500267,1.33,21.33,2.66,2.66,2.66,6.66,6.66,2.66,32.0,0.0,6.66,13.33
SK0237500283,1.81,14.48,0.83,5.71,5.98,11.69,4.45,1.94,32.31,0.0,4.73,15.04
SK0237500305,2.22,21.11,0.66,4.66,6.44,10.22,2.88,1.33,36.66,0.22,4.88,6.44
SK0233500313,3.49,17.49,1.16,4.37,6.7,13.41,6.12,4.95,28.86,0.0,3.79,9.03
